YEAR,APOPN,AGDPN,ATXPY,ASCHF,ABOOK,ACPIU,ACPIM,AWAGE,ASCHCI,ASCHCL,ASCHEI,ASCHEL,AINTS,ADIVS,ACGNS,ASOCSEC,AUCOMP,AIPD
2009,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0053,1.0041,1.1629,1.1089,1.2953,1.0357,1.0606,1.1781,1.0,1.0034,1.0
2010,1.0084,1.029155,1.019734,1.285006,1.239687,1.0168,1.0341,1.01428,1.036295,0.861365,1.051964,0.876537,0.824078,1.113447,1.483637,1.023297,1.4395,0.9382
2011,1.007636,1.029143,1.054092,1.628865,1.032354,1.031176,1.030655,1.029487,1.036772,0.969799,1.037889,0.932017,0.85377,1.052349,1.014976,1.004847,0.768253,0.924856
2012,1.007676,1.033693,1.0439,0.950294,1.105021,1.020887,1.036405,1.032695,1.049014,0.956138,1.165919,0.926988,0.923669,1.327788,1.589653,1.028314,0.771046,0.92313
2013,1.007618,1.031571,1.012394,1.14209,1.0337,1.014761,1.024624,1.019855,0.994934,1.049962,0.99716,1.013174,0.893554,0.819308,0.776176,1.014701,0.728979,0.89613
2014,1.007463,1.024963,1.029602,0.931733,0.976534,1.021083,0.964216,1.040096,1.040639,1.030451,1.076041,0.991213,0.925988,1.176075,1.387526,1.004792,0.641088,0.970605
2015,1.007889,1.026394,1.036489,0.760951,0.961547,1.018303,1.010538,1.03949,1.039045,1.039009,0.961562,0.961548,0.999984,1.056293,1.154906,1.016043,0.910916,1.044639
2016,1.008114,1.024068,1.033817,0.784954,0.967187,1.022844,1.013511,1.038778,1.032873,1.03287,0.967151,0.967221,1.023649,1.016767,1.080044,1.006929,0.782094,1.044655
2017,1.008143,1.033375,1.034789,1.232623,0.994894,1.022247,1.013063,1.035192,1.034971,1.034966,0.99488,0.994844,1.03407,1.025465,1.001678,1.010033,0.964424,1.044588
2018,1.008077,1.03215,1.034302,1.125014,1.001651,1.022864,1.013689,1.032358,1.030804,1.030816,1.001719,1.001653,1.032911,1.024943,1.001677,1.032406,1.073411,1.044699
2019,1.008013,1.028374,1.03181,1.052944,1.00295,1.023346,1.013853,1.028114,1.025119,1.025123,1.002857,1.002935,1.050694,1.026188,0.990676,1.037393,1.123852,1.044715
2020,1.007857,1.0278,1.033751,1.057981,0.997319,1.023299,1.014179,1.028089,1.02401,1.024033,0.997334,0.997394,1.072525,1.022993,1.010022,1.035674,1.140478,1.044647
2021,1.007795,1.031075,1.036087,1.059174,1.012069,1.023243,1.014235,1.030552,1.0286,1.028539,1.012102,1.012012,1.084019,1.021412,1.019184,1.033428,1.057871,1.044616
2022,1.007644,1.031939,1.037009,1.056372,1.024105,1.023333,1.014453,1.031482,1.030601,1.030626,1.024057,1.024056,1.073271,1.023072,1.023895,1.034732,1.045671,1.044719
2023,1.007586,1.032389,1.035734,1.064127,1.03573,1.02333,1.014494,1.031694,1.032319,1.032362,1.035773,1.035771,1.063287,1.025206,1.028041,1.037493,1.047996,1.044627
2024,1.007439,1.03259,1.035809,1.070207,1.040148,1.023388,1.014693,1.03169,1.033424,1.033397,1.040136,1.040225,1.049932,1.027629,1.030659,1.039104,1.054271,1.044658
2025,1.007295,1.032949,1.03528,1.058735,1.045118,1.023502,1.01488,1.031868,1.034299,1.034342,1.04511,1.045037,1.04141,1.029608,1.03294,1.03662,1.04735,1.044696
2026,1.007154,1.032949,1.035631,1.036033,1.046786,1.023526,1.014898,1.03193,1.034539,1.034547,1.046788,1.046832,1.039478,1.03183,1.032663,1.039103,1.043343,1.044648
